JustinAnderson,KevinHuerter,OmariSpellman,IsaacHumphries,JaylenAdams,TraeYoung,TaureanPrince,DewayneDedmon,VinceCarter,MilesPlumlee,JohnCollins,AlexPoythress,KentBazemore,AlexLen,DeAndre'Bembry
0.0,0.145,0.068,0.0,0.0,0.335,0.089,0.159,0.0,0.0,0.273,0.0,0.22,0.225,0.123
0.0,0.136,0.179,0.0,0.0,0.252,0.181,0.217,0.248,0.0,0.294,0.0,0.235,0.096,0.099
0.17,0.128,0.137,0.0,0.68,0.323,0.158,0.189,0.221,0.0,0.201,0.0,0.262,0.189,0.113
0.0,0.141,0.156,0.0,0.0,0.296,0.176,0.129,0.122,0.0,0.232,0.0,0.327,0.203,0.141
0.185,0.219,0.138,0.0,0.0,0.257,0.12,0.14,0.0,0.0,0.292,0.0,0.261,0.295,0.07
0.0,0.139,0.199,0.0,0.0,0.299,0.192,0.169,0.093,0.0,0.217,0.0,0.219,0.253,0.156
0.307,0.121,0.124,0.0,0.0,0.328,0.216,0.228,0.079,0.0,0.179,0.0,0.235,0.199,0.106
0.0,0.0,0.078,0.0,0.07,0.323,0.151,0.234,0.319,0.0,0.21,0.0,0.159,0.104,0.228
0.253,0.0,0.165,0.0,0.087,0.249,0.208,0.186,0.128,0.0,0.205,0.0,0.238,0.071,0.189
0.0,0.117,0.164,0.0,0.13,0.322,0.0,0.161,0.313,0.0,0.202,0.0,0.238,0.097,0.137
0.0,0.144,0.112,0.0,0.059,0.315,0.138,0.13,0.154,0.0,0.326,0.0,0.287,0.112,0.181
0.106,0.186,0.226,0.0,0.149,0.359,0.129,0.176,0.147,0.0,0.0,0.0,0.162,0.208,0.151
0.109,0.176,0.0,0.0,0.195,0.278,0.0,0.165,0.187,0.0,0.0,0.137,0.216,0.36,0.209
0.053,0.171,0.0,0.0,0.134,0.309,0.0,0.132,0.23,0.0,0.0,0.187,0.279,0.148,0.197
0.0,0.186,0.0,0.0,0.196,0.346,0.15,0.0,0.126,0.0,0.233,0.181,0.203,0.139,0.172
0.111,0.143,0.0,0.0,0.141,0.29,0.146,0.0,0.193,0.0,0.312,0.0,0.186,0.195,0.168
0.0,0.266,0.0,0.0,0.095,0.257,0.134,0.137,0.024,0.0,0.259,0.0,0.208,0.246,0.238
