DelonWright,JalenJohnson,SharifeCooper,KevinHuerter,SkylarMays,KevinKnoxII,LouWilliams,TimotheLuwawu-Cabarrot,DaniloGallinari,GorguiDieng,TraeYoung,De'AndreHunter,BogdanBogdanovic,ClintCapela,OnyekaOkongwu,JohnCollins,ChaundeeBrown
0.092,0.0,0.0,0.196,0.0,0.094,0.302,0.0,0.0,0.0,0.401,0.215,0.0,0.059,0.13,0.198,0.0
0.204,0.0,0.0,0.153,0.25,0.213,0.199,0.25,0.231,0.0,0.314,0.204,0.0,0.157,0.149,0.096,0.0
0.081,0.381,0.0,0.182,0.102,0.254,0.186,0.0,0.177,0.254,0.402,0.154,0.275,0.084,0.297,0.146,0.0
0.059,0.0,0.0,0.097,0.25,0.25,0.221,0.25,0.134,0.167,0.394,0.176,0.275,0.108,0.089,0.257,0.0
0.097,0.0,0.0,0.1,0.0,0.0,0.248,0.0,0.113,0.0,0.379,0.161,0.189,0.181,0.203,0.21,0.0
0.203,0.0,0.0,0.2,0.0,0.0,0.147,0.0,0.164,0.0,0.0,0.271,0.251,0.097,0.192,0.22,0.0
0.058,0.0,0.0,0.201,0.0,0.0,0.0,0.0,0.239,0.0,0.395,0.225,0.147,0.086,0.092,0.211,0.0
0.115,0.0,0.0,0.133,0.0,0.0,0.096,0.0,0.0,0.0,0.288,0.273,0.215,0.162,0.075,0.273,0.0
0.077,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.166,0.0,0.281,0.199,0.215,0.185,0.115,0.247,0.0
0.104,0.0,0.0,0.151,0.059,0.176,0.0,0.294,0.095,0.316,0.374,0.195,0.227,0.099,0.208,0.289,0.0
0.15,0.0,0.0,0.23,0.088,0.088,0.0,0.353,0.266,0.265,0.254,0.162,0.206,0.186,0.099,0.197,0.0
0.086,0.0,0.0,0.134,0.0,0.0,0.183,0.0,0.149,0.0,0.367,0.199,0.261,0.081,0.181,0.0,0.0
0.055,0.0,0.0,0.136,0.0,0.0,0.109,0.0,0.307,0.0,0.425,0.173,0.156,0.122,0.169,0.0,0.0
0.125,0.056,0.0,0.182,0.157,0.255,0.284,0.157,0.177,0.235,0.308,0.195,0.257,0.131,0.17,0.0,0.0
0.103,0.0,0.0,0.125,0.0,0.068,0.202,0.0,0.253,0.0,0.282,0.155,0.287,0.152,0.131,0.0,0.0
