DonovanWilliams,BrunoFernando,JalenJohnson,TrentForrest,AaronHoliday,DejounteMurray,TraeYoung,De'AndreHunter,BogdanBogdanovic,AJGriffin,ClintCapela,OnyekaOkongwu,JohnCollins,TyreseMartin,GarrisonMathews,VitKrejci,SaddiqBey
0.0,0.0,0.1,0.0,0.25,0.296,0.341,0.173,0.212,0.105,0.121,0.112,0.117,0.0,0.0,0.0,0.0
0.0,0.0,0.149,0.0,0.058,0.269,0.356,0.225,0.0,0.132,0.13,0.054,0.159,0.0,0.0,0.0,0.0
0.0,0.0,0.166,0.0,0.109,0.253,0.297,0.0,0.189,0.094,0.176,0.0,0.189,0.0,0.0,0.0,0.0
0.0,0.0,0.106,0.0,0.077,0.27,0.325,0.0,0.177,0.13,0.159,0.177,0.199,0.0,0.0,0.0,0.0
0.0,0.0,0.176,0.0,0.375,0.192,0.368,0.17,0.171,0.12,0.145,0.114,0.176,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.145,0.076,0.31,0.0,0.192,0.264,0.206,0.177,0.09,0.16,0.0,0.0,0.0,0.0
0.0,0.0,0.135,0.154,0.231,0.215,0.324,0.167,0.236,0.097,0.167,0.204,0.156,0.0,0.0,0.1,0.0
0.0,0.0,0.11,0.0,0.0,0.219,0.285,0.209,0.188,0.155,0.168,0.202,0.17,0.0,0.0,0.0,0.0
0.0,0.0,0.209,0.073,0.309,0.317,0.0,0.263,0.162,0.225,0.192,0.16,0.07,0.0,0.0,0.0,0.0
0.0,0.0,0.225,0.0,0.0,0.219,0.263,0.212,0.218,0.125,0.181,0.133,0.146,0.0,0.0,0.0,0.0
0.0,0.0,0.206,0.0,0.0,0.192,0.326,0.154,0.198,0.186,0.174,0.128,0.18,0.0,0.0,0.0,0.0
0.0,0.0,0.155,0.0,0.25,0.222,0.3,0.218,0.144,0.187,0.161,0.15,0.204,0.0,0.0,0.0,0.0
0.0,0.0,0.215,0.0,0.0,0.145,0.28,0.217,0.141,0.17,0.23,0.176,0.0,0.0,0.0,0.0,0.197
0.0,0.444,0.111,0.0,0.135,0.168,0.303,0.235,0.09,0.324,0.14,0.221,0.203,0.0,0.111,0.333,0.092
